"feature","Astro.L1.FGFR3.MT1G","Endo.L2.5.CLDN5","VLMC.L1.3.CYP1B1","Peri.L1.6.MUSTN1","Astro.L1.FGFR3.FOS","Oligo.L4.6.MOBP.COL18A1","OPC.L1.6.MYT1","Micro.L1.6.C1QC","Oligo.L4.6.OPALIN","Astro.L1.6.FGFR3.ETNPPL"
"SLC6A10P",0,0,0,0,0,0,0,0,0,0
"SLC6A11",1.2409174,0,0,0,0.15875,0,0,0,0,2.4589088
"SLC6A12",0,0,1.2275,10.253125,0,0,0,0,0,0
"SLC6A13",0,0,1.36375,3.8370833,0,0,0,0,0,0
"SLC6A14",0,0,0,0,0,0,0,0,0,0
"SLC6A15",0,0,0,0,0,0,0,0,0,0
"SLC6A16",0.06743119,0.011538462,0.725,0,0.36857143,0.031631578,0,0,0,0.09295172
"SLC6A17",0,0,0,0,0,0,0,0,0,0
"SLC6A18",0,0,0,0,0,0,0,0,0,0
"SLC6A19",0,0,0,0,0,0,0,0,0,0
"SLC6A2",0,0,0,0,0,0,0,0,0,0
"SLC6A20",0,0,2.3575,0,0,0,0,0,0,0
"SLC6A21P",0,0,0,0,0,0,0,0,0,0
"SLC6A3",0,0,0,0,0,0,0,0,0,0
"SLC6A4",0,0,0,0,0,0,0,0,0,0
"SLC6A5",0,0,0,0,0,0,0,0,0,0
"SLC6A6",0,0.03403846,0,0,0,0.09712042,0,0,0,0
"SLC6A6P1",0,0,0,0,0,0,0,0,0,0
"SLC6A7",0,0,0,0,0,0,0,0,0,0
"SLC6A8",0,0,0,0,0.125,0,0,0,0,0
"SLC6A9",0,0,0,0,0,0.32047367,0,0,0,0
"SLC7A1",0,9.443824,0,0,0,0,0,0,0,0
"SLC7A10",0,0,0,0,0,0,0,0,0,0.8346621
"SLC7A11",8.948472,2.9084616,10.824,0,9.032702,0.023631578,0,0,0,8.469254
"SLC7A11-AS1",0,0,0.505,0,0,0,0,0,0,0
"SLC7A13",0,0,0,0,0,0,0,0,0,0
"SLC7A14",0.107522935,0.07807692,1.38125,0,0.08571429,5.982857,0.057015438,0.004661922,3.4295313,0.09046832
"SLC7A15P",0,0,0,0,0,0,0,0,0,0
"SLC7A2",0.8482569,0,0,0,1.8985714,0,0,0,0,0.47515193
"SLC7A3",0,0,0,0,0,0,0,0,0,0
"SLC7A4",0,0,0,0,0,0,0,0,0,0
"SLC7A5",0,7.8464704,0,0,0.09732143,0,0,0,0,0
"SLC7A5P1",0,0,0,0,0,0,0,0,0,0
"SLC7A5P2",0,0.48615384,0,0,0,0,0,0,0,0
